Date,Not indexed,Indexed,Impressions
2026-02-15,,,0
2026-02-16,,,3
2026-02-17,712,483,89
2026-02-18,706,499,189
2026-02-19,706,499,1092
2026-02-20,706,499,5084
2026-02-21,706,499,4652
2026-02-22,705,501,4324
2026-02-23,705,501,3462
2026-02-24,705,501,3081
2026-02-25,587,683,3687
2026-02-26,587,683,2966
2026-02-27,587,683,2054
2026-02-28,587,683,2016
2026-03-01,587,683,2030
2026-03-02,587,683,1793
2026-03-03,587,683,2155
2026-03-04,573,709,1903
2026-03-05,573,709,1741
2026-03-06,573,709,1765
2026-03-07,573,709,2399
2026-03-08,580,702,2466
2026-03-09,580,702,2300
2026-03-10,580,702,2211
