Date,Clicks,Impressions,CTR,Position
2025-12-20,1,457,0.22%,11.4
2025-12-21,8,904,0.88%,10.8
2025-12-22,6,1277,0.47%,11
2025-12-23,12,1547,0.78%,11.1
2025-12-24,14,1729,0.81%,11.3
2025-12-25,14,2027,0.69%,10.5
2025-12-26,22,2914,0.75%,7.6
2025-12-27,13,2295,0.57%,9.3
2025-12-28,19,2470,0.77%,9.6
2025-12-29,19,2430,0.78%,9.6
2025-12-30,13,2653,0.49%,9.3
2025-12-31,18,2028,0.89%,9.6
2026-01-01,13,2352,0.55%,10
2026-01-02,33,2976,1.11%,8.9
2026-01-03,37,2854,1.3%,7.9
2026-01-04,22,2985,0.74%,7.6
2026-01-05,27,3057,0.88%,8.8
2026-01-06,34,3247,1.05%,7.9
2026-01-07,19,3321,0.57%,8.9
2026-01-08,20,3731,0.54%,9.6
2026-01-09,22,3649,0.6%,9.4
2026-01-10,37,3905,0.95%,9.3
2026-01-11,29,4027,0.72%,9.6
2026-01-12,18,3606,0.5%,9.2
2026-01-13,27,4296,0.63%,7.6
2026-01-14,24,3687,0.65%,8.2
2026-01-15,26,3454,0.75%,8.3
2026-01-16,30,3640,0.82%,7.7
2026-01-17,42,3640,1.15%,8.3
2026-01-18,38,3536,1.07%,8.4
2026-01-19,39,3363,1.16%,9.2
2026-01-20,39,3400,1.15%,9.2
2026-01-21,26,3175,0.82%,9.3
2026-01-22,27,3210,0.84%,10
2026-01-23,27,3199,0.84%,9.3
2026-01-24,23,3470,0.66%,9.7
2026-01-25,22,3406,0.65%,9.1
2026-01-26,15,3144,0.48%,9.3
2026-01-27,33,3351,0.98%,9
2026-01-28,31,3369,0.92%,8.7
2026-01-29,26,3317,0.78%,8.5
2026-01-30,22,3569,0.62%,9.5
2026-01-31,26,3452,0.75%,8.9
2026-02-01,33,3425,0.96%,9.4
2026-02-02,23,2961,0.78%,9.7
2026-02-03,28,2542,1.1%,6.9
2026-02-04,26,2306,1.13%,8.4
2026-02-05,22,2571,0.86%,8.4
2026-02-06,14,2387,0.59%,8.3
2026-02-07,22,2581,0.85%,7.9
2026-02-08,19,2823,0.67%,8.8
2026-02-09,24,2707,0.89%,9
2026-02-10,22,2937,0.75%,9
2026-02-11,26,2970,0.88%,8.6
2026-02-12,14,3052,0.46%,8.5
2026-02-13,19,3061,0.62%,8.3
