ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Cost of goods,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 1 default
73,simple,132221,8906000210055,Pillsbury Chakki Atta (Whole Wheat Flour) 5kg - For Soft Rotis,1,0,visible,"<p><strong>Pillsbury</strong> Authentic <strong>chakki atta (whole wheat flour)</strong> — essential for making <strong>chapati</strong> and <strong>roti</strong> at home. Stone-ground whole wheat, rich in dietary fibre. This generous family-size pack (5 kg) is a pantry staple for South Asian households in Sweden. Order from <strong>Ideal Indiska LIVS</strong> Stockholm with fast delivery across Sweden.</p>","<p>
<strong>Pillsbury Chakki Atta (Whole Wheat Flour) 5kg - For Soft Rotis</strong> (5 kg) by <strong>Pillsbury</strong> is an authentic <strong>chakki atta (whole wheat flour)</strong> —
stone-ground whole wheat, rich in dietary fibre — and an essential ingredient in South Asian cooking.
Whether you are making fresh rotis every day or preparing special dishes for family gatherings,
this generous family-size pack keeps your kitchen stocked for weeks.
</p>

<h3>What you can make with chakki atta (whole wheat flour)</h3>
<ul>
<li>chapati</li><li>roti</li><li>phulka</li><li>paratha</li><li>thepla</li>
</ul>

<h3>Cooking tip</h3>
<p>Use 2 cups flour to ¾ cup warm water. Knead for 8–10 minutes and rest for 30 minutes for soft, pliable rotis.</p>

<h3>Why buy from Ideal Indiska LIVS?</h3>
<ul>
<li><strong>Authentic milling</strong> — same quality used in South Asian home kitchens</li>
<li><strong>Hard to find in Swedish supermarkets</strong> — we stock specialist flours you won't find at ICA or Coop</li>
<li><strong>Right pack size</strong> — 5 kg generous family-size pack for your household's needs</li>
<li><strong>Fast delivery</strong> — across Sweden, delivered to your door</li>
</ul>

<h3>Storage</h3>
<p>Store in a cool, dry place. Transfer to an airtight container once opened
to maintain freshness and keep insects out. Use within 6 months for best results.</p>

<p><em>chapati mjöl, fullkorns vetemjöl, indiskt vetemjöl — hos Ideal Indiska LIVS Stockholm.</em></p>
<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online store for Indian and Pakistani groceries.
From <strong>chakki atta</strong> and <strong>besan</strong> to rice flour and semolina,
we stock the full range of authentic flours for every South Asian recipe.
Order your 5 kg <strong>chakki atta (whole wheat flour)</strong> today — snabb leverans i Sverige.
</p>",,,taxable,reduced-rate,1,14,,0,0,5000,,,,0,,,120,"Flours (Atta & More), Flours (Atta & More) > Whole Wheat Atta",,,https://crm.ideallivs.com/wp-content/uploads/2025/06/pillsbury_chaki_atta_5kg.png,,,,,,,,,0,,Pillsbury,Store Availability,On Display to Order,1,1,,,,,,,,,,
74,simple,132222,8901725150105,Pillsbury Chakki Atta (Whole Wheat Flour) 10kg - Bulk Value Pack for Soft Rotis,1,0,visible,"<p><strong>Pillsbury</strong> Authentic <strong>chakki atta (whole wheat flour)</strong> — essential for making <strong>chapati</strong> and <strong>roti</strong> at home. Stone-ground whole wheat, rich in dietary fibre. This large family value pack (10 kg) is a pantry staple for South Asian households in Sweden. Order from <strong>Ideal Indiska LIVS</strong> Stockholm with fast delivery across Sweden.</p>","<p>
<strong>Pillsbury Chakki Atta (Whole Wheat Flour) 10kg - Bulk Value Pack for Soft Rotis</strong> (10 kg) by <strong>Pillsbury</strong> is an authentic <strong>chakki atta (whole wheat flour)</strong> —
stone-ground whole wheat, rich in dietary fibre — and an essential ingredient in South Asian cooking.
Whether you are making fresh rotis every day or preparing special dishes for family gatherings,
this large family value pack keeps your kitchen stocked for weeks.
</p>

<h3>What you can make with chakki atta (whole wheat flour)</h3>
<ul>
<li>chapati</li><li>roti</li><li>phulka</li><li>paratha</li><li>thepla</li>
</ul>

<h3>Cooking tip</h3>
<p>Use 2 cups flour to ¾ cup warm water. Knead for 8–10 minutes and rest for 30 minutes for soft, pliable rotis.</p>

<h3>Why buy from Ideal Indiska LIVS?</h3>
<ul>
<li><strong>Authentic milling</strong> — same quality used in South Asian home kitchens</li>
<li><strong>Hard to find in Swedish supermarkets</strong> — we stock specialist flours you won't find at ICA or Coop</li>
<li><strong>Right pack size</strong> — 10 kg large family value pack for your household's needs</li>
<li><strong>Fast delivery</strong> — across Sweden, delivered to your door</li>
</ul>

<h3>Storage</h3>
<p>Store in a cool, dry place. Transfer to an airtight container once opened
to maintain freshness and keep insects out. Use within 6 months for best results.</p>

<p><em>chapati mjöl, fullkorns vetemjöl, indiskt vetemjöl — hos Ideal Indiska LIVS Stockholm.</em></p>
<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online store for Indian and Pakistani groceries.
From <strong>chakki atta</strong> and <strong>besan</strong> to rice flour and semolina,
we stock the full range of authentic flours for every South Asian recipe.
Order your 10 kg <strong>chakki atta (whole wheat flour)</strong> today — snabb leverans i Sverige.
</p>",,,taxable,reduced-rate,1,17,,0,0,10000,,,,0,,199,230,"Flours (Atta & More) > Chakki Fresh, Flours (Atta & More) > Whole Wheat Atta",,,"https://crm.ideallivs.com/wp-content/uploads/2025/04/Pillsbury-atta-10-Kg-e1759326612425.png, https://crm.ideallivs.com/wp-content/uploads/2025/04/pillsbury-atta-scaled.jpg",,,,,"132223, 132239, 132233",,,,0,,Pillsbury,Store Availability,On Display to Order,1,1,,,,,,,,,,
75,simple,132223,8901725121761,Aashirvaad Chakki atta 5kg,1,0,visible,"<p><strong>Aashirvaad</strong> Authentic <strong>chakki atta (whole wheat flour)</strong> — essential for making <strong>chapati</strong> and <strong>roti</strong> at home. Stone-ground whole wheat, rich in dietary fibre. This generous family-size pack (5 kg) is a pantry staple for South Asian households in Sweden. Order from <strong>Ideal Indiska LIVS</strong> Stockholm with fast delivery across Sweden.</p>","<p>
<strong>Aashirvaad Chakki atta 5kg</strong> (5 kg) by <strong>Aashirvaad</strong> is an authentic <strong>chakki atta (whole wheat flour)</strong> —
stone-ground whole wheat, rich in dietary fibre — and an essential ingredient in South Asian cooking.
Whether you are making fresh rotis every day or preparing special dishes for family gatherings,
this generous family-size pack keeps your kitchen stocked for weeks.
</p>

<h3>What you can make with chakki atta (whole wheat flour)</h3>
<ul>
<li>chapati</li><li>roti</li><li>phulka</li><li>paratha</li><li>thepla</li>
</ul>

<h3>Cooking tip</h3>
<p>Use 2 cups flour to ¾ cup warm water. Knead for 8–10 minutes and rest for 30 minutes for soft, pliable rotis.</p>

<h3>Why buy from Ideal Indiska LIVS?</h3>
<ul>
<li><strong>Authentic milling</strong> — same quality used in South Asian home kitchens</li>
<li><strong>Hard to find in Swedish supermarkets</strong> — we stock specialist flours you won't find at ICA or Coop</li>
<li><strong>Right pack size</strong> — 5 kg generous family-size pack for your household's needs</li>
<li><strong>Fast delivery</strong> — across Sweden, delivered to your door</li>
</ul>

<h3>Storage</h3>
<p>Store in a cool, dry place. Transfer to an airtight container once opened
to maintain freshness and keep insects out. Use within 6 months for best results.</p>

<p><em>chapati mjöl, fullkorns vetemjöl, indiskt vetemjöl — hos Ideal Indiska LIVS Stockholm.</em></p>
<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online store for Indian and Pakistani groceries.
From <strong>chakki atta</strong> and <strong>besan</strong> to rice flour and semolina,
we stock the full range of authentic flours for every South Asian recipe.
Order your 5 kg <strong>chakki atta (whole wheat flour)</strong> today — snabb leverans i Sverige.
</p>",,,taxable,reduced-rate,1,25,,0,0,5000,,,,0,,,120,Flours (Atta & More) > Whole Wheat Atta,,,https://crm.ideallivs.com/wp-content/uploads/2025/06/Aashirvaad-Chakki-atta-5kg.png,,,,,,,,,0,,Aashirvaad,Store Availability,On Display to Order,1,1,,,,,,,,,,
76,simple,132224,5015821159528,Aashirvaad Shudh Chakki Atta (Whole Wheat Flour) 10kg - For Extra Soft Rotis,1,0,visible,"<p><strong>Aashirvaad</strong> Authentic <strong>chakki atta (whole wheat flour)</strong> — essential for making <strong>chapati</strong> and <strong>roti</strong> at home. Stone-ground whole wheat, rich in dietary fibre. This large family value pack (10 kg) is a pantry staple for South Asian households in Sweden. Order from <strong>Ideal Indiska LIVS</strong> Stockholm with fast delivery across Sweden.</p>","<p>
<strong>Aashirvaad Shudh Chakki Atta (Whole Wheat Flour) 10kg - For Extra Soft Rotis</strong> (10 kg) by <strong>Aashirvaad</strong> is an authentic <strong>chakki atta (whole wheat flour)</strong> —
stone-ground whole wheat, rich in dietary fibre — and an essential ingredient in South Asian cooking.
Whether you are making fresh rotis every day or preparing special dishes for family gatherings,
this large family value pack keeps your kitchen stocked for weeks.
</p>

<h3>What you can make with chakki atta (whole wheat flour)</h3>
<ul>
<li>chapati</li><li>roti</li><li>phulka</li><li>paratha</li><li>thepla</li>
</ul>

<h3>Cooking tip</h3>
<p>Use 2 cups flour to ¾ cup warm water. Knead for 8–10 minutes and rest for 30 minutes for soft, pliable rotis.</p>

<h3>Why buy from Ideal Indiska LIVS?</h3>
<ul>
<li><strong>Authentic milling</strong> — same quality used in South Asian home kitchens</li>
<li><strong>Hard to find in Swedish supermarkets</strong> — we stock specialist flours you won't find at ICA or Coop</li>
<li><strong>Right pack size</strong> — 10 kg large family value pack for your household's needs</li>
<li><strong>Fast delivery</strong> — across Sweden, delivered to your door</li>
</ul>

<h3>Storage</h3>
<p>Store in a cool, dry place. Transfer to an airtight container once opened
to maintain freshness and keep insects out. Use within 6 months for best results.</p>

<p><em>chapati mjöl, fullkorns vetemjöl, indiskt vetemjöl — hos Ideal Indiska LIVS Stockholm.</em></p>
<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online store for Indian and Pakistani groceries.
From <strong>chakki atta</strong> and <strong>besan</strong> to rice flour and semolina,
we stock the full range of authentic flours for every South Asian recipe.
Order your 10 kg <strong>chakki atta (whole wheat flour)</strong> today — snabb leverans i Sverige.
</p>",,,taxable,reduced-rate,1,18,,0,0,10000,,,,0,,,230,Flours (Atta & More) > Whole Wheat Atta,,,"https://crm.ideallivs.com/wp-content/uploads/2025/04/aashirvaad-chakki-atta-e1748537798859.webp, https://crm.ideallivs.com/wp-content/uploads/2025/04/Aashirvaad-Shudh-Chakki-Atta-Whole-Wheat-Flour-10kg-e1771805937712.png",,,,,,,,,0,,Aashirvaad,Store Availability,On Display to Order,1,1,,,,,,,,,,
77,simple,132225,5017689008222,Elephant Atta Medium (Chakki Whole Wheat Flour) 10kg,1,0,visible,"<p><strong>Elephant</strong> Authentic <strong>chakki atta (whole wheat flour)</strong> — essential for making <strong>chapati</strong> and <strong>roti</strong> at home. Stone-ground whole wheat, rich in dietary fibre. This large family value pack (15 kg) is a pantry staple for South Asian households in Sweden. Order from <strong>Ideal Indiska LIVS</strong> Stockholm with fast delivery across Sweden.</p>","<p>
<strong>Elephant Atta Medium (Chakki Whole Wheat Flour) 10kg</strong> (15 kg) by <strong>Elephant</strong> is an authentic <strong>chakki atta (whole wheat flour)</strong> —
stone-ground whole wheat, rich in dietary fibre — and an essential ingredient in South Asian cooking.
Whether you are making fresh rotis every day or preparing special dishes for family gatherings,
this large family value pack keeps your kitchen stocked for weeks.
</p>

<h3>What you can make with chakki atta (whole wheat flour)</h3>
<ul>
<li>chapati</li><li>roti</li><li>phulka</li><li>paratha</li><li>thepla</li>
</ul>

<h3>Cooking tip</h3>
<p>Use 2 cups flour to ¾ cup warm water. Knead for 8–10 minutes and rest for 30 minutes for soft, pliable rotis.</p>

<h3>Why buy from Ideal Indiska LIVS?</h3>
<ul>
<li><strong>Authentic milling</strong> — same quality used in South Asian home kitchens</li>
<li><strong>Hard to find in Swedish supermarkets</strong> — we stock specialist flours you won't find at ICA or Coop</li>
<li><strong>Right pack size</strong> — 15 kg large family value pack for your household's needs</li>
<li><strong>Fast delivery</strong> — across Sweden, delivered to your door</li>
</ul>

<h3>Storage</h3>
<p>Store in a cool, dry place. Transfer to an airtight container once opened
to maintain freshness and keep insects out. Use within 6 months for best results.</p>

<p><em>chapati mjöl, fullkorns vetemjöl, indiskt vetemjöl — hos Ideal Indiska LIVS Stockholm.</em></p>
<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online store for Indian and Pakistani groceries.
From <strong>chakki atta</strong> and <strong>besan</strong> to rice flour and semolina,
we stock the full range of authentic flours for every South Asian recipe.
Order your 15 kg <strong>chakki atta (whole wheat flour)</strong> today — snabb leverans i Sverige.
</p>",,,taxable,reduced-rate,1,18,,0,0,15000,,,,0,,130,160,Flours (Atta & More) > Chapati Flour,,,https://crm.ideallivs.com/wp-content/uploads/2025/04/elephant-Atta.png,,,,,,,,,0,,Elephant,Store Availability,On Display to Order,1,1,,,,,,,,,,
78,simple,132226,5017689008352,TRS Gram Flour (Besan/Chickpea Flour) 1kg - Versatile Kitchen Staple,1,0,visible,"<p>Premium <strong>chickpeas</strong> — chickpeas (kabuli chana) — perfect for homemade <strong>chana masala, hummus</strong>. This 1 kg pack is rich in protein, fibre, and iron, a pantry staple for South Asian households. Trusted <strong>TRS</strong> quality. Order from <strong>Ideal Indiska LIVS</strong> Stockholm — fast delivery across Sweden.</p>","<p>
<strong>TRS Gram Flour (Besan/Chickpea Flour) 1kg - Versatile Kitchen Staple</strong> (1 kg) is a premium-quality <strong>chickpeas</strong>
(chickpeas (kabuli chana)) for South Asian households in Sweden.
Whether you are making a comforting weeknight dal or a festive centrepiece,
this 1 kg bag delivers authentic flavour and rich in protein, fibre, and iron.
</p>

<h3>Why choose this chickpeas?</h3>
<ul>
<li><strong>Nutritional powerhouse</strong> — rich in protein, fibre, and iron; a staple for vegetarian and vegan diets.</li>
<li><strong>Authentic taste</strong> — same variety and grade used in traditional South Asian cooking.</li>
<li><strong>Convenient size</strong> — 1 kg suits both daily cooking and batch preparation.</li>
<li><strong>Quality assurance</strong> — <strong>TRS</strong> is a trusted name among South Asian grocers worldwide, known for consistent quality and careful sourcing.</li>
</ul>

<h3>Classic dishes to make</h3>
<ul>
<li>chana masala</li><li>hummus</li><li>chole bhature</li>
</ul>

<h3>Cooking tip</h3>
<p>Soak overnight and pressure-cook until tender. Use aquafaba (cooking liquid) for homemade hummus.</p>

<h3>Frequently searched terms</h3>
<p><em>chickpeas, chana, kabuli chana, garbanzo beans, chole — available at Ideal Indiska LIVS, Stockholm.</em></p>

<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online Indian and Pakistani grocery store.
We deliver authentic <strong>dal, lentils, and pulses</strong> straight to your door across Sweden.
Add this 1 kg <strong>chickpeas</strong> to your cart today — fast, reliable home delivery.
</p>",,,taxable,reduced-rate,1,19,,0,0,1000,,,,0,,,42,Flours (Atta & More) > Gram Flour (Besan),,,https://crm.ideallivs.com/wp-content/uploads/2025/04/TRS-gram-flour-1kg.png,,,,,,,,,0,,TRS Foods,Store Availability,On Display to Order,1,1,,,,,,,,,,
79,simple,132227,5015821159535,"TRS Gram Flour (Besan/Chickpea Flour) 2kg - Value Pack for Pakoras, Ladoos & More",1,0,visible,"<p>Premium <strong>chickpeas</strong> — chickpeas (kabuli chana) — perfect for homemade <strong>chana masala, hummus</strong>. This 2 kg pack is rich in protein, fibre, and iron, a pantry staple for South Asian households. Trusted <strong>TRS</strong> quality. Order from <strong>Ideal Indiska LIVS</strong> Stockholm — fast delivery across Sweden.</p>","<p>
<strong>TRS Gram Flour (Besan/Chickpea Flour) 2kg - Value Pack for Pakoras, Ladoos & More</strong> (2 kg) is a premium-quality <strong>chickpeas</strong>
(chickpeas (kabuli chana)) for South Asian households in Sweden.
Whether you are making a comforting weeknight dal or a festive centrepiece,
this 2 kg bag delivers authentic flavour and rich in protein, fibre, and iron.
</p>

<h3>Why choose this chickpeas?</h3>
<ul>
<li><strong>Nutritional powerhouse</strong> — rich in protein, fibre, and iron; a staple for vegetarian and vegan diets.</li>
<li><strong>Authentic taste</strong> — same variety and grade used in traditional South Asian cooking.</li>
<li><strong>Convenient size</strong> — 2 kg suits both daily cooking and batch preparation.</li>
<li><strong>Quality assurance</strong> — <strong>TRS</strong> is a trusted name among South Asian grocers worldwide, known for consistent quality and careful sourcing.</li>
</ul>

<h3>Classic dishes to make</h3>
<ul>
<li>chana masala</li><li>hummus</li><li>chole bhature</li>
</ul>

<h3>Cooking tip</h3>
<p>Soak overnight and pressure-cook until tender. Use aquafaba (cooking liquid) for homemade hummus.</p>

<h3>Frequently searched terms</h3>
<p><em>chickpeas, chana, kabuli chana, garbanzo beans, chole — available at Ideal Indiska LIVS, Stockholm.</em></p>

<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online Indian and Pakistani grocery store.
We deliver authentic <strong>dal, lentils, and pulses</strong> straight to your door across Sweden.
Add this 2 kg <strong>chickpeas</strong> to your cart today — fast, reliable home delivery.
</p>",,,taxable,reduced-rate,1,11,,0,0,2000,,,,0,,,82,Flours (Atta & More) > Gram Flour (Besan),,,https://crm.ideallivs.com/wp-content/uploads/2025/04/TRS-gram-flour-2kg.png,,,,,,,,,0,,TRS Foods,Store Availability,On Display to Order,1,1,,,,,,,,,,
80,simple,132228,8904137702627,Elephant Atta Medium Chapati Flour 25kg - Bulk Bag for Soft Rotis,1,0,visible,"<p><strong>Elephant</strong> Authentic <strong>chakki atta (whole wheat flour)</strong> — essential for making <strong>chapati</strong> and <strong>roti</strong> at home. Stone-ground whole wheat, rich in dietary fibre. This bulk restaurant-size pack (25 kg) is a pantry staple for South Asian households in Sweden. Order from <strong>Ideal Indiska LIVS</strong> Stockholm with fast delivery across Sweden.</p>","<p>
<strong>Elephant Atta Medium Chapati Flour 25kg - Bulk Bag for Soft Rotis</strong> (25 kg) by <strong>Elephant</strong> is an authentic <strong>chakki atta (whole wheat flour)</strong> —
stone-ground whole wheat, rich in dietary fibre — and an essential ingredient in South Asian cooking.
Whether you are making fresh rotis every day or preparing special dishes for family gatherings,
this bulk restaurant-size pack keeps your kitchen stocked for weeks.
</p>

<h3>What you can make with chakki atta (whole wheat flour)</h3>
<ul>
<li>chapati</li><li>roti</li><li>phulka</li><li>paratha</li><li>thepla</li>
</ul>

<h3>Cooking tip</h3>
<p>Use 2 cups flour to ¾ cup warm water. Knead for 8–10 minutes and rest for 30 minutes for soft, pliable rotis.</p>

<h3>Why buy from Ideal Indiska LIVS?</h3>
<ul>
<li><strong>Authentic milling</strong> — same quality used in South Asian home kitchens</li>
<li><strong>Hard to find in Swedish supermarkets</strong> — we stock specialist flours you won't find at ICA or Coop</li>
<li><strong>Right pack size</strong> — 25 kg bulk restaurant-size pack for your household's needs</li>
<li><strong>Fast delivery</strong> — across Sweden, delivered to your door</li>
</ul>

<h3>Storage</h3>
<p>Store in a cool, dry place. Transfer to an airtight container once opened
to maintain freshness and keep insects out. Use within 6 months for best results.</p>

<p><em>chapati mjöl, fullkorns vetemjöl, indiskt vetemjöl — hos Ideal Indiska LIVS Stockholm.</em></p>
<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online store for Indian and Pakistani groceries.
From <strong>chakki atta</strong> and <strong>besan</strong> to rice flour and semolina,
we stock the full range of authentic flours for every South Asian recipe.
Order your 25 kg <strong>chakki atta (whole wheat flour)</strong> today — snabb leverans i Sverige.
</p>",,,taxable,reduced-rate,1,12,,0,0,25000,,,,0,,,290,"Flours (Atta & More) > Chapati Flour, Flours (Atta & More)",,,"https://crm.ideallivs.com/wp-content/uploads/2025/04/elephant-atta-25-kg-medium-2.png, https://crm.ideallivs.com/wp-content/uploads/2025/04/elephant-atta-25-kg-medium-2.png",,,,,"132232, 132233, 132222",,,,0,,Elephant,Store Availability,On Display to Order,1,1,,,,,,,,,,
82,simple,132230,620514013084,Deepak Chakki Atta 5kg,1,0,visible,"<p><strong>Deepak</strong> Authentic <strong>chakki atta (whole wheat flour)</strong> — essential for making <strong>chapati</strong> and <strong>roti</strong> at home. Stone-ground whole wheat, rich in dietary fibre. This generous family-size pack (5 kg) is a pantry staple for South Asian households in Sweden. Order from <strong>Ideal Indiska LIVS</strong> Stockholm with fast delivery across Sweden.</p>","<p>
<strong>Deepak Chakki Atta 5kg</strong> (5 kg) by <strong>Deepak</strong> is an authentic <strong>chakki atta (whole wheat flour)</strong> —
stone-ground whole wheat, rich in dietary fibre — and an essential ingredient in South Asian cooking.
Whether you are making fresh rotis every day or preparing special dishes for family gatherings,
this generous family-size pack keeps your kitchen stocked for weeks.
</p>

<h3>What you can make with chakki atta (whole wheat flour)</h3>
<ul>
<li>chapati</li><li>roti</li><li>phulka</li><li>paratha</li><li>thepla</li>
</ul>

<h3>Cooking tip</h3>
<p>Use 2 cups flour to ¾ cup warm water. Knead for 8–10 minutes and rest for 30 minutes for soft, pliable rotis.</p>

<h3>Why buy from Ideal Indiska LIVS?</h3>
<ul>
<li><strong>Authentic milling</strong> — same quality used in South Asian home kitchens</li>
<li><strong>Hard to find in Swedish supermarkets</strong> — we stock specialist flours you won't find at ICA or Coop</li>
<li><strong>Right pack size</strong> — 5 kg generous family-size pack for your household's needs</li>
<li><strong>Fast delivery</strong> — across Sweden, delivered to your door</li>
</ul>

<h3>Storage</h3>
<p>Store in a cool, dry place. Transfer to an airtight container once opened
to maintain freshness and keep insects out. Use within 6 months for best results.</p>

<p><em>chapati mjöl, fullkorns vetemjöl, indiskt vetemjöl — hos Ideal Indiska LIVS Stockholm.</em></p>
<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online store for Indian and Pakistani groceries.
From <strong>chakki atta</strong> and <strong>besan</strong> to rice flour and semolina,
we stock the full range of authentic flours for every South Asian recipe.
Order your 5 kg <strong>chakki atta (whole wheat flour)</strong> today — snabb leverans i Sverige.
</p>",,,taxable,reduced-rate,1,10,,0,0,5000,,,,0,,,130,"Flours (Atta & More) > Chakki Fresh, Flours (Atta & More), Flours (Atta & More) > Whole Wheat Atta",,,https://crm.ideallivs.com/wp-content/uploads/2025/07/Deepak-Chakki-Atta-5kg.png,,,,,,,,,0,,Deepak,Store Availability,On Display to Order,1,1,,,,,,,,,,
83,simple,132231,8904137703198,National Cornflour 300g,1,0,visible,<p><strong>National</strong> Authentic <strong>cornflour (corn starch)</strong> — essential for making <strong>Manchurian sauce</strong> and <strong>crispy fried snacks</strong> at home. Gluten-free thickening agent. This compact pack (300 g) is a pantry staple for South Asian households in Sweden. Order from <strong>Ideal Indiska LIVS</strong> Stockholm with fast delivery across Sweden.</p>,"<p>
<strong>National Cornflour 300g</strong> (300 g) by <strong>National</strong> is an authentic <strong>cornflour (corn starch)</strong> —
gluten-free thickening agent — and an essential ingredient in South Asian cooking.
Whether you are making fresh rotis every day or preparing special dishes for family gatherings,
this compact pack keeps your kitchen stocked for weeks.
</p>

<h3>What you can make with cornflour (corn starch)</h3>
<ul>
<li>Manchurian sauce</li><li>crispy fried snacks</li><li>thickening gravies</li><li>custard</li>
</ul>

<h3>Cooking tip</h3>
<p>Mix with cold water before adding to hot liquids to avoid lumps.</p>

<h3>Why buy from Ideal Indiska LIVS?</h3>
<ul>
<li><strong>Authentic milling</strong> — same quality used in South Asian home kitchens</li>
<li><strong>Hard to find in Swedish supermarkets</strong> — we stock specialist flours you won't find at ICA or Coop</li>
<li><strong>Right pack size</strong> — 300 g compact pack for your household's needs</li>
<li><strong>Fast delivery</strong> — across Sweden, delivered to your door</li>
</ul>

<h3>Storage</h3>
<p>Store in a cool, dry place. Transfer to an airtight container once opened
to maintain freshness and keep insects out. Use within 6 months for best results.</p>


<h3>Order from Ideal Indiska LIVS, Stockholm</h3>
<p>
<strong>Ideal Indiska LIVS</strong> is Stockholm's leading online store for Indian and Pakistani groceries.
From <strong>chakki atta</strong> and <strong>besan</strong> to rice flour and semolina,
we stock the full range of authentic flours for every South Asian recipe.
Order your 300 g <strong>cornflour (corn starch)</strong> today — snabb leverans i Sverige.
</p>",,,taxable,reduced-rate,1,,,0,0,300,,,,0,,,20,"Flours (Atta & More) > Other Flours (Millet\, Corn\, Maida\, etc.)",,,https://crm.ideallivs.com/wp-content/uploads/2025/04/National-Cornflour-300g.png,,,,,,,,,0,,National,Store Availability,On Display to Order,1,1,,,,,,,,,,
